rea_time,goResp,hitGoal,subject,session,block,trial,response_cat,sampleTimeMsGo_01,sampleTimeMsGo_02,sampleTimeMsGo_03,sampleTimeMsGo_04,sampleTimeMsGo_05,sampleTimeMsGo_06,samplePosDegAtt_01,samplePosDegAtt_02,samplePosDegAtt_03,samplePosDegAtt_04,samplePosDegAtt_05,samplePosDegAtt_06,sampleAccprobHit_01,sampleAccprobHit_02,sampleAccprobHit_03,sampleAccprobHit_04,sampleAccprobHit_05,sampleAccprobHit_06,sampleProbHit_01,sampleProbHit_02,sampleProbHit_03,sampleProbHit_04,sampleProbHit_05,sampleProbHit_06,answer
0.46608996,1,1,o1,1,1,92,HIT,0,166,333,499,666,833,0.166832304,-2.823029513,1.232683471,0.778891916,1.869283205,-0.898568315,0.979145962,1,1,1,1,1,0.979145962,0.647121311,0.845914566,0.90263851,0.766339599,0.887678961,1
0.5165826,1,1,o1,1,1,93,HIT,0,167,333,500,667,833,-0.614316408,-0.011846282,-3.793029571,-3.785656837,-1.804261406,-2.735378307,0.923210449,0.998398616,0.997192037,0.997192037,0.997192037,0.997192037,0.923210449,0.998519215,0.525871304,0.526792895,0.774467324,0.658077712,1
,0,0,o1,1,1,94,CORRECT REJECTION,0,167,334,500,667,833,-8.564558096,-8.569054273,-6.073156667,-3.206222534,-2.096913514,-8.106807704,0,0,0,0,0,0,0,0,0.240855417,0.599222183,0.737885811,0,1
0.62442116,1,0,o1,1,1,95,FALSE ALARM,0,167,334,501,667,833,-8.528052322,-4.776123476,-7.846161693,-3.756981364,-5.911848153,-4.165957221,0,0,0,0,0,0,0,0.402984565,0.019229788,0.530377329,0.261018981,0.479255347,0
,0,0,o1,1,1,96,CORRECT REJECTION,0,167,334,500,667,833,-8.919074562,-6.136483158,-9.340882254,-6.23089626,-8.962025223,-5.220057087,0,0,0,0,0,0,0,0.232939605,0,0.221137968,0,0.347492864,1
0.59963048,1,0,o1,1,1,97,FALSE ALARM,0,167,333,500,666,833,-3.035108365,-2.766390105,-4.546282265,-4.76047159,-6.69291129,-4.071260803,0.620611454,0.642182215,0.555250459,0.539389338,0.320877748,0.320877748,0.620611454,0.654201237,0.431714717,0.404941051,0.163386089,0.4910924,0
,0,0,o1,1,1,98,CORRECT REJECTION,0,166,333,500,667,833,5.957763235,8.428085917,4.324633094,9.779786743,9.030507241,7.056566468,0.255279596,0,0,0,0,0,0.255279596,0,0.459420863,0,0,0.117929192,1
,0,1,o1,1,1,99,MISS,0,167,333,500,666,833,6.065384541,5.680091513,1.556686723,-1.399204117,-0.118713996,4.844966596,0.241826932,0.254063021,0.554124323,1,1,1,0.241826932,0.289988561,0.80541416,0.825099485,0.985160751,0.394379176,0
0.57481664,1,0,o1,1,1,100,FALSE ALARM,0,166,333,500,666,833,3.014059364,2.099338737,8.207512346,2.902552259,6.837980072,4.479796371,0.623242579,0.703704169,0,0,0,0,0.623242579,0.737582658,0,0.637180968,0.145252491,0.440025454,0
,0,1,o1,1,1,101,MISS,0,166,333,500,666,833,2.802319157,2.678010376,0.271714801,4.593888398,3.76040152,0.160210262,0.649710105,0.659965036,0.950320873,0.926120819,0.926120819,0.955076892,0.649710105,0.665248703,0.96603565,0.42576395,0.52994981,0.979973717,0
0.63285292,1,1,o1,1,1,102,HIT,0,166,333,500,666,833,-1.188642005,0.721205297,-3.620290627,-4.164315035,-3.865537854,-1.876204161,0.851419749,1,1,1,1,1,0.851419749,0.909849338,0.547463672,0.479460621,0.516807768,0.76547448,1
,0,0,o1,1,1,103,CORRECT REJECTION,0,166,333,500,667,833,4.296668924,8.044034199,7.465526765,4.58816829,2.527947929,6.557638877,0.462916385,0,0,0,0,0,0.462916385,0,0.066809154,0.426478964,0.684006509,0.18029514,1
,0,0,o1,1,1,104,CORRECT REJECTION,0,167,333,500,666,833,-6.954392651,-6.658399799,-7.965222474,-6.486918465,-8.467459974,-3.462226745,0.130700919,0.135722531,0.005195967,0.005332589,0,0,0.130700919,0.167700025,0.004347191,0.189135192,0,0.567221657,1
0.48303556,1,1,o1,1,1,105,HIT,0,167,333,500,666,833,1.012701328,-1.157649606,3.146455158,0.479380067,-1.493006446,3.513935687,0.873412334,1,1,1,1,1,0.873412334,0.855293799,0.606693105,0.940077492,0.813374194,0.560758039,1
,0,0,o1,1,1,106,CORRECT REJECTION,0,166,333,500,667,833,8.99538599,4.907395178,3.961117581,6.555578694,1.993191968,2.538285798,0,0,0,0,0,0,0,0.386575603,0.504860302,0.180552663,0.750851004,0.682714275,1
0.6580264,1,1,o1,1,1,107,HIT,0,167,333,500,666,833,0.630843376,-3.037758816,1.817789221,-4.350585614,-1.499993444,-4.610843267,0.921144578,1,1,1,1,1,0.921144578,0.620280148,0.772776347,0.456176798,0.81250082,0.423644592,1
0.6747668,1,1,o1,1,1,108,HIT,0,166,333,500,667,833,4.774494747,-1.075836977,-0.980635619,4.412363918,5.024522854,-0.720689201,0.403188157,1,1,1,1,1,0.403188157,0.865520378,0.877420548,0.44845451,0.371934643,0.90991385,1
0.39941672,1,0,o1,1,1,109,FALSE ALARM,0,166,334,500,666,833,5.241392145,3.654971048,2.324275477,2.331760035,7.763646331,8.761722805,0.344825982,0.43011989,0.542725,0.542725,0.092302968,0,0.344825982,0.543128619,0.709465565,0.708529996,0.029544209,0,0
,0,0,o1,1,1,111,CORRECT REJECTION,0,167,334,500,667,834,-4.762958828,-8.473920537,-6.976413153,-2.312393957,-9.7627836,-8.933783177,0.404630146,0,0,0,0,0,0.404630146,0,0.127948356,0.710950755,0,0,1
